frame_size,redundancy_pct,k,m,encode_us,decode_no_loss_us,decode_with_loss_us,encode_mbps,decode_mbps
10240,25,9,2,3.6,0.12,2.2,2712.67,4438.92
10240,50,9,4,4.76,0.02,3.76,2051.6,2597.24
51200,25,43,10,53.76,1.26,70.14,908.261,696.152
51200,50,43,21,105.78,0.44,115.64,461.601,422.243
102400,25,86,21,175.98,0.3,261.36,554.928,373.647
102400,50,86,43,397.78,0.92,570.26,245.503,171.249
307200,25,128,32,934.68,1.54,1132.88,313.443,258.605
307200,50,128,64,1390.32,1.32,1657.98,210.72,176.702
512000,25,107,26,858.9,1.54,786.12,568.496,621.128
512000,50,107,53,1675.98,1.38,1406.66,291.341,347.121
1048576,25,110,27,1597.1,1.12,1101.42,626.135,907.919
1048576,50,110,55,3328.46,1.1,2274.14,300.439,439.727
