scenario,loss_rate,method,redundancy,recovery_rate,bandwidth_overhead
0,0.02,fixed_50,0.5,1,0.5625
0,0.02,adaptive,0.25,1,0.3375
1,0.05,fixed_50,0.5,1,0.5625
1,0.05,adaptive,0.5,1,0.5625
2,0.08,fixed_50,0.5,1,0.5625
2,0.08,adaptive,0.5,1,0.5625
3,0.12,fixed_50,0.5,0.99,0.5625
3,0.12,adaptive,0.5,0.985,0.5625
4,0.18,fixed_50,0.5,0.97,0.5625
4,0.18,adaptive,0.75,0.995,0.7875
5,0.25,fixed_50,0.5,0.875,0.5625
5,0.25,adaptive,0.75,0.97,0.7875
6,0.15,fixed_50,0.5,0.98,0.5625
6,0.15,adaptive,0.5,0.985,0.5625
7,0.1,fixed_50,0.5,1,0.5625
7,0.1,adaptive,0.5,1,0.5625
8,0.05,fixed_50,0.5,1,0.5625
8,0.05,adaptive,0.5,1,0.5625
9,0.03,fixed_50,0.5,1,0.5625
9,0.03,adaptive,0.25,1,0.3375
