0,1766998729496,1766998729597,1,2
1,1766998729516,1766998729616,1,0
2,1766998729549,1766998729649,1,0
3,1766998729582,1766998729682,1,0
4,1766998729849,1766998729949,1,1
5,1766998729649,1766998729949,1,0
6,1766998729682,1766998729949,1,0
7,1766998729716,1766998729949,1,0
8,1766998729749,1766998729949,1,1
9,1766998729782,1766998729949,1,1
10,1766998729816,1766998729949,1,0
11,1766998729849,1766998729949,1,0
12,1766998729882,1766998729982,1,0
13,1766998729915,1766998730015,1,0
14,1766998729949,1766998730049,1,1
15,1766998729982,1766998730082,1,0
16,1766998730016,1766998730116,1,0
17,1766998730049,1766998730149,1,0
18,1766998730082,1766998730182,1,0
19,1766998730115,1766998730216,1,1
20,1766998730149,1766998730249,1,1
21,1766998730182,1766998730282,1,0
22,1766998730216,1766998730316,1,0
23,1766998730249,1766998730349,1,0
24,1766998730282,1766998730382,1,0
25,1766998730316,1766998730416,1,0
26,1766998730349,1766998730449,1,0
27,1766998730382,1766998730482,1,0
28,1766998730415,1766998730515,1,0
29,1766998730449,1766998730549,1,1
30,1766998730482,1766998730582,1,0
31,1766998730516,1766998730849,1,0
32,1766998730549,1766998730849,1,1
33,1766998730582,1766998730849,1,0
34,1766998730615,1766998730849,1,0
35,1766998730649,1766998730849,1,0
36,1766998730682,1766998730849,1,0
37,1766998730715,1766998730849,1,0
38,1766998730749,1766998730849,1,0
39,1766998730782,1766998730882,1,0
40,1766998730815,1766998730916,1,0
41,1766998730849,1766998730949,1,0
42,1766998730882,1766998730982,1,0
43,1766998730915,1766998731015,1,0
44,1766998730949,1766998731049,1,0
45,1766998730982,1766998731082,1,1
46,1766998731015,1766998731115,1,0
47,1766998731049,1766998731149,1,0
48,1766998731082,1766998731182,1,0
49,1766998731115,1766998731216,1,0
50,1766998731149,1766998731249,1,0
51,1766998731182,1766998731282,1,0
52,1766998731215,1766998731315,1,0
53,1766998731249,1766998731349,1,0
54,1766998731283,1766998731383,1,1
55,1766998731315,1766998731415,1,0
56,1766998731349,1766998731449,1,0
57,1766998731382,1766998731482,1,0
58,1766998731415,1766998731515,1,0
59,1766998731449,1766998731549,1,1
60,1766998731482,1766998731582,1,0
61,1766998731515,1766998731615,1,0
62,1766998731550,1766998731650,1,0
63,1766998731582,1766998731682,1,1
64,1766998731615,1766998731716,1,0
65,1766998731649,1766998731749,1,0
66,1766998731682,1766998731782,1,0
67,1766998731716,1766998731816,1,0
68,1766998731749,1766998731849,1,0
69,1766998731782,1766998731882,1,0
70,1766998731816,1766998731916,1,0
71,1766998731849,1766998731949,1,0
72,1766998731882,1766998731982,1,0
73,1766998731915,1766998732016,1,0
74,1766998731949,1766998732049,1,0
75,1766998731982,1766998732082,1,0
76,1766998732015,1766998732115,1,0
77,1766998732049,1766998732149,1,0
78,1766998732082,1766998732182,1,1
79,1766998732115,1766998732215,1,0
80,1766998732149,1766998732249,1,0
81,1766998732182,1766998732282,1,0
82,1766998732216,1766998732316,1,0
83,1766998732249,1766998732349,1,0
84,1766998732282,1766998732616,1,0
85,1766998732315,1766998732616,1,0
86,1766998732349,1766998732616,1,0
87,1766998732382,1766998732616,1,0
88,1766998732415,1766998732616,1,1
89,1766998732449,1766998732616,1,1
90,1766998732482,1766998732616,1,0
91,1766998732515,1766998732616,1,0
92,1766998732549,1766998732649,1,0
93,1766998732582,1766998732682,1,0
94,1766998732615,1766998732715,1,0
95,1766998732649,1766998732749,1,0
96,1766998732682,1766998732782,1,1
97,1766998732715,1766998732816,1,1
98,1766998732749,1766998732849,1,0
99,1766998732782,1766998732882,1,0
100,1766998732816,1766998732916,1,0
101,1766998732849,1766998732949,1,0
102,1766998732882,1766998732982,1,1
103,1766998732915,1766998733015,1,0
104,1766998732949,1766998733049,1,0
105,1766998732982,1766998733082,1,0
106,1766998733015,1766998733115,1,0
107,1766998733049,1766998733149,1,0
108,1766998733082,1766998733182,1,0
109,1766998733115,1766998733215,1,0
110,1766998733149,1766998733249,1,0
111,1766998733182,1766998733282,1,0
112,1766998733215,1766998733315,1,0
113,1766998733249,1766998733349,1,0
114,1766998733282,1766998733382,1,0
115,1766998733315,1766998733416,1,0
116,1766998733349,1766998733449,1,1
